recorded_time,temperature,sensor_type
2024-09-15T00:00,-0.31195355826129756,UNKNOWN
2024-09-15T00:01,-0.31195355826129756,UNKNOWN
2024-09-15T00:02,-0.4119535582612954,UNKNOWN
2024-09-15T00:03,-0.5119535582612968,UNKNOWN
2024-09-15T00:04,-0.7119535582612961,UNKNOWN
2024-09-15T00:05,-1.2119535582612961,UNKNOWN
2024-09-15T00:06,-1.5119535582612968,UNKNOWN
2024-09-15T00:07,-1.5119535582612968,UNKNOWN
2024-09-15T00:08,-1.5119535582612968,UNKNOWN
2024-09-15T00:09,-1.5119535582612968,UNKNOWN
2024-09-15T00:10,-1.5119535582612968,UNKNOWN
2024-09-15T00:11,-1.6119535582612983,UNKNOWN
2024-09-15T00:12,-1.7119535582612961,UNKNOWN
2024-09-15T00:13,-1.7119535582612961,UNKNOWN
2024-09-15T00:14,-1.8119535582612976,UNKNOWN
2024-09-15T00:15,-1.7119535582612961,UNKNOWN
2024-09-15T00:16,-1.6119535582612983,UNKNOWN
2024-09-15T00:17,-1.4119535582612954,UNKNOWN
2024-09-15T00:18,-1.3119535582612976,UNKNOWN
2024-09-15T00:19,-1.1119535582612983,UNKNOWN
2024-09-15T00:20,-0.21195355826129614,UNKNOWN
2024-09-15T00:21,0.188046441738706,UNKNOWN
2024-09-15T00:22,0.48804644173870315,UNKNOWN
2024-09-15T00:23,0.5880464417387046,UNKNOWN
2024-09-15T00:24,0.38804644173870173,UNKNOWN
2024-09-15T00:25,0.08804644173870457,UNKNOWN
2024-09-15T00:26,0.08804644173870457,UNKNOWN
2024-09-15T00:27,0.188046441738706,UNKNOWN
2024-09-15T00:28,0.48804644173870315,UNKNOWN
2024-09-15T00:29,0.38804644173870173,UNKNOWN
2024-09-15T00:30,0.08804644173870457,UNKNOWN
2024-09-15T00:31,-0.21195355826129614,UNKNOWN
2024-09-15T00:32,-0.6119535582612983,UNKNOWN
2024-09-15T00:33,-0.8119535582612976,UNKNOWN
2024-09-15T00:34,0.188046441738706,UNKNOWN
2024-09-15T00:35,0.8880464417387017,UNKNOWN
2024-09-15T00:36,1.188046441738706,UNKNOWN
2024-09-15T00:37,1.0880464417387046,UNKNOWN
2024-09-15T00:38,0.7880464417387003,UNKNOWN
2024-09-15T00:39,0.5880464417387046,UNKNOWN
